 Name                       Version        License                              
 CacheControl               0.14.4         Apache-2.0                           
 Jinja2                     3.1.6          BSD License                          
 MarkupSafe                 3.0.3          BSD-3-Clause                         
 PyYAML                     6.0.3          MIT License                          
 Pygments                   2.19.2         BSD License                          
 RapidFuzz                  3.14.3         MIT                                  
 SecretStorage              3.4.1          BSD-3-Clause                         
 Send2Trash                 1.8.3          BSD License                          
 annotated-doc              0.0.3          MIT                                  
 annotated-types            0.7.0          MIT License                          
 anthropic                  0.72.1         MIT License                          
 anyio                      4.11.0         MIT                                  
 argon2-cffi                25.1.0         MIT                                  
 argon2-cffi-bindings       25.1.0         MIT                                  
 arrow                      1.4.0          Apache Software License              
 asttokens                  3.0.0          Apache 2.0                           
 async-lru                  2.0.5          MIT License                          
 attrs                      25.4.0         MIT                                  
 babel                      2.17.0         BSD License                          
 beautifulsoup4             4.14.2         MIT License                          
 bleach                     6.2.0          Apache Software License              
 browser-cookie3            0.20.1         lgpl                                 
 build                      1.3.0          MIT                                  
 certifi                    2025.11.12     Mozilla Public License 2.0 (MPL 2.0) 
 cffi                       2.0.0          MIT                                  
 charset-normalizer         3.4.4          MIT                                  
 cleo                       2.1.0          MIT License                          
 comm                       0.2.3          BSD License                          
 crashtest                  0.4.1          MIT License                          
 cryptography               46.0.3         Apache-2.0 OR BSD-3-Clause           
 debugpy                    1.8.17         MIT License                          
 decorator                  5.2.1          BSD License                          
 defusedxml                 0.7.1          Python Software Foundation License   
 distlib                    0.4.0          Python Software Foundation License   
 distro                     1.9.0          Apache Software License              
 docstring_parser           0.17.0         MIT License                          
 dulwich                    1.1.0          Apache-2.0 OR GPL-2.0-or-later       
 executing                  2.2.1          MIT License                          
 fastapi                    0.120.1        MIT                                  
 fastavro                   1.12.0         MIT License                          
 fastjsonschema             2.21.2         BSD License                          
 filelock                   3.20.0         Unlicense                            
 findpython                 0.7.1          MIT                                  
 fqdn                       1.5.1          Mozilla Public License 2.0 (MPL 2.0) 
 h11                        0.16.0         MIT License                          
 httpcore                   1.0.9          BSD-3-Clause                         
 httpretty                  1.1.4          MIT License                          
 httpx                      0.28.1         BSD License                          
 idna                       3.11           BSD-3-Clause                         
 iniconfig                  2.1.0          MIT                                  
 installer                  0.7.0          MIT License                          
 ipykernel                  7.0.1          BSD-3-Clause                         
 ipython                    9.6.0          BSD License                          
 ipython_pygments_lexers    1.1.1          BSD License                          
 ipywidgets                 8.1.7          BSD License                          
 isoduration                20.11.0        ISC License (ISCL)                   
 jaraco.classes             3.4.0          MIT License                          
 jaraco.context             6.0.1          MIT License                          
 jaraco.functools           4.3.0          MIT                                  
 jedi                       0.19.2         MIT License                          
 jeepney                    0.9.0          MIT                                  
 jiter                      0.12.0         MIT License                          
 json5                      0.12.1         Apache Software License              
 jsonpointer                3.0.0          BSD License                          
 jsonschema                 4.25.1         MIT                                  
 jsonschema-specifications  2025.9.1       MIT                                  
 jupyter                    1.1.1          BSD License                          
